City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Kafue,ZM,81.77,broken clouds,-15.7691,28.1814,Purview Lodges Ltd
78,Evans,US,47.62,clear sky,33.5337,-82.1307,Evans hide out
79,New Norfolk,AU,52.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
80,Winslow,US,28.58,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
81,Pando,UY,68.4,mist,-34.7167,-55.95,viviendas mvotma
82,Son La,VN,65.71,broken clouds,21.3167,103.9,Galaxy Grand Hotel
83,Constitucion,CL,60.58,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
85,Emba,KZ,40.91,light rain,48.8264,58.1442,Ozera Chernyy
86,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
87,Hobart,AU,53.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
88,Port Alfred,ZA,68.18,clear sky,-33.5906,26.891,The Halyards Hotel & Spa
89,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
90,Namibe,AO,73.92,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
91,Hervey Bay,AU,72.43,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
92,Mar Del Plata,AR,68.02,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
93,Novopokrovka,UA,48.7,few clouds,49.8425,36.5477,Пудж дом
94,Port Elizabeth,ZA,74.1,few clouds,-33.918,25.5701,39 On Nile Guest House
95,Puerto Ayora,EC,71.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Sao Filipe,CV,77.88,broken clouds,14.8961,-24.4956,Hotel Xaguate
97,Puerto Escondido,MX,77.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
98,Havoysund,NO,35.83,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
99,Bengkulu,ID,73.9,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
100,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
101,Cabo San Lucas,MX,66.06,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
102,Kaitangata,NZ,47.46,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
104,Fort Morgan,US,18.82,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
105,Isangel,VU,77.04,few clouds,-19.55,169.2667,Tanna Lodge
106,Jamestown,US,34.18,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
107,Haines Junction,CA,28.35,broken clouds,60.7522,-137.5108,Parkside Inn
108,Arraial Do Cabo,BR,82.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
110,Yemelyanovo,RU,36.41,scattered clouds,56.1681,92.6767,Zaimka Emelyanovskaya Gorka
111,Hearst,CA,21.45,light snow,49.6835,-83.6665,Companion
112,Kamariotissa,GR,63.27,few clouds,40.4833,25.4667,Niki Beach
113,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
114,Victoria,HK,78.19,clear sky,22.2855,114.1577,Mini Central
115,Maniwaki,CA,28.78,scattered clouds,46.3834,-75.966,Centre Chateau Logue
116,Abalak,RU,31.03,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
117,Calama,CL,63.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
118,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
119,Klaeng,TH,84.94,broken clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
120,Bad Hofgastein,AT,56.14,clear sky,47.1667,13.1,Johannesbad Hotel Palace
121,Maraba,BR,89.78,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
124,Okha,RU,14.77,scattered clouds,53.5739,142.9478,Sakhalin-Sfera
125,Graulhet,FR,68.74,scattered clouds,43.7669,1.9894,Hôtel Restaurant du Lac à Graulhet
126,Rosehearty,GB,54.66,clear sky,57.697,-2.1132,The Davron Hotel
127,Placido De Castro,BR,95.14,overcast clouds,-10.3353,-67.1856,Hotel Carioca
128,Tonj,SS,88.68,overcast clouds,7.2737,28.6822,Lakan Hotel
129,Albion,US,32.81,overcast clouds,42.2431,-84.753,Days Inn by Wyndham Albion
130,Staraya Russa,RU,42.67,overcast clouds,57.9944,31.3608,Hotel Polist
131,Upernavik,GL,20.48,broken clouds,72.7868,-56.1549,Café de Upernavik
132,Bahar,IR,50.16,clear sky,34.9072,48.4414,هتل ولفجر
133,Vigrestad,NO,54.59,overcast clouds,58.5667,5.7,Brusand Camping
134,Lorengau,PG,81.79,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
135,Impfondo,CG,78.51,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
137,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
138,Cortes,ES,69.08,clear sky,41.9395,-1.4396,Rincon de bu
140,Krasnozerskoye,RU,34.12,light snow,53.9828,79.2374,Hotel Tsentralniy
141,Caetite,BR,80.8,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
142,Kearney,US,21.76,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
143,Pyu,MM,72.77,broken clouds,18.4833,96.4333,Mr Bo Bo
144,Fairbanks,US,18.09,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
145,Kuruman,ZA,77.99,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
146,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
147,Gushikawa,JP,74.79,scattered clouds,26.3544,127.8686,Kirari Guest House
148,Chancay,PE,66.45,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
149,Am Timan,TD,93.33,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
150,Qaanaaq,GL,4.24,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
151,Kirakira,SB,78.46,broken clouds,-10.4544,161.9205,SanBiz Lodge
152,Naryan-Mar,RU,16.07,broken clouds,67.6713,53.087,Hostel Agat
153,Dalbandin,PK,66.6,broken clouds,28.8947,64.4101,Sanjrani House
154,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
155,Magadan,RU,1.0,scattered clouds,59.5667,150.8,Magadan hotel
156,Astoria,US,36.59,fog,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
157,Yellowknife,CA,30.72,light snow,62.456,-114.3525,The Explorer Hotel
158,Fort Abbas,PK,77.31,overcast clouds,29.1925,72.8536,AsAd's House
159,Douglas,US,19.58,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
160,Waipawa,NZ,52.57,broken clouds,-41.4122,175.5153,Tora Coastal Walk
161,Katobu,ID,76.87,overcast clouds,-4.9408,122.5276,La Ode Husein
162,Chuy,UY,71.42,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
164,Port Macquarie,AU,68.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
165,Kapaa,US,73.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
167,Katsuura,JP,68.02,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
170,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,Casa Tia Villa
171,Dolores,AR,81.66,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
172,Guerrero Negro,MX,61.45,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
173,Acarau,BR,89.33,scattered clouds,-2.8856,-40.12,castelo pizzaria
175,Honiara,SB,77.74,overcast clouds,-9.4333,159.95,Heritage Park Hotel
176,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
177,Vila Velha,BR,84.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
179,Santa Catarina Pinula,GT,67.62,scattered clouds,14.5689,-90.4953,Hilton Guatemala City
180,Surt,LY,70.95,clear sky,31.2089,16.5887,فندق المدينة
181,Penon Blanco,MX,61.45,clear sky,24.7897,-104.0369,Hotel Lopez
182,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
183,Avarua,CK,69.85,light rain,-21.2078,-159.775,Paradise Inn
184,Gouyave,GD,83.17,scattered clouds,12.1646,-61.7296,Rumboat Retreat
185,Qurayyat,SA,73.58,scattered clouds,31.3318,37.3428,الشاغور بلازا
187,Nuuk,GL,29.01,broken clouds,64.1835,-51.7216,Vandrehuset
188,Ketchikan,US,45.07,light rain,55.3422,-131.6461,Snow's Cove Lodge
190,Longyearbyen,SJ,30.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
191,Zlobin,HR,49.3,light rain,45.2924,14.6541,Hotel Bitoraj Fuzine
193,Trincomalee,LK,80.91,overcast clouds,8.5711,81.2335,Welcombe Hotel
195,Tautira,PF,74.62,light rain,-17.7333,-149.15,Pension Oaoa
196,Mitsamiouli,KM,79.16,few clouds,-11.3847,43.2844,Foyer ADM
197,Pisco,PE,62.65,mist,-13.7,-76.2167,Hotel San Isidro Oficial
198,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
199,Sinnamary,GF,82.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
201,Laguna,US,46.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
202,Bubaque,GW,83.05,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
203,Clyde,US,35.22,few clouds,41.3042,-82.9752,Red Roof Inn Clyde
204,Encruzilhada Do Sul,BR,64.67,light rain,-30.5439,-52.5219,Conceição Palace Hotel
205,Fortuna,US,39.54,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
206,Hayden,US,27.16,overcast clouds,47.766,-116.7866,Triple Play Resort Hotel & Suites
208,Jinxi,CN,54.79,overcast clouds,30.4323,116.2922,Jinling Hotel
209,Kavaratti,IN,80.26,overcast clouds,10.5669,72.642,Green leaf
210,Quelimane,MZ,89.55,few clouds,-17.8786,36.8883,Hotel Flamingo
212,Makat,KZ,48.67,light rain,47.6469,53.3463,Umit
214,Severo-Kurilsk,RU,32.54,overcast clouds,50.6789,156.125,Kak Doma
215,Leh,IN,25.45,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
216,Beyneu,KZ,45.41,overcast clouds,45.3167,55.2,NUR
217,Bandar-E Lengeh,IR,87.91,clear sky,26.5579,54.8807,کافی نت پارس
218,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
219,Elizabeth City,US,52.05,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
220,Turtas,RU,24.39,broken clouds,58.9417,69.1325,Domashnyaya Gostinitsa
221,Bud,US,32.76,clear sky,39.447,-86.1758,Ted McQuinn Trust
222,Praxedis Guerrero,MX,44.06,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
224,Arlit,NE,87.78,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
225,Garowe,SO,85.89,clear sky,8.4054,48.4845,Sacaada Hotel
226,Fare,PF,74.25,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
227,Northam,GB,62.26,overcast clouds,51.0333,-4.2167,Durrant House Hotel
228,Nabire,ID,77.09,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
229,Tuntum,BR,93.33,clear sky,-5.2581,-44.6489,Casa da Dona Maria Lúcia
230,Waitati,NZ,45.81,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
231,Vardo,NO,30.18,scattered clouds,70.3705,31.1107,Wilhelmsen eiendom AS
233,Buta,CD,80.29,overcast clouds,2.7858,24.73,Hôtel BOPANDO
234,Rafraf,TN,70.11,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
235,Butembo,CD,60.73,moderate rain,0.15,29.2833,Hotel Butembo
236,Puerto Leguizamo,CO,88.2,scattered clouds,-0.1934,-74.7819,la casona de juancho
237,Geraldton,AU,63.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
239,Belem De Sao Francisco,BR,92.14,few clouds,-8.7539,-38.9658,Village Hotel
240,Zaragoza,ES,64.85,clear sky,41.6561,-0.8773,Hotel Goya
241,Mehamn,NO,33.75,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
242,Faya,SA,71.71,few clouds,18.3851,42.4509,شيلة نسايم
243,Kualakapuas,ID,76.96,light rain,-3.0091,114.3876,Guest House Izonk
244,Rio Grande,BR,73.51,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
245,Panama City,PA,81.45,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
246,Yichun,CN,17.55,scattered clouds,47.7,128.9,锦江酒店
247,Kongoussi,BF,96.64,clear sky,13.3258,-1.5347,Hôtel La Sagesse
248,Chipinge,ZW,75.22,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
249,Jalu,LY,72.25,scattered clouds,29.0331,21.5482,صاحبة الفخامة
250,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
251,Mutum,BR,87.03,broken clouds,-19.8,-41.4383,Hotel do Djalma
252,Santiago Del Estero,AR,69.96,light rain,-27.7951,-64.2615,Apartamentos Castelli 90
253,Margate,GB,60.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
254,Aklavik,CA,1.26,overcast clouds,68.2191,-135.0107,Aklavik Inn
255,Toowoomba,AU,63.25,broken clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
256,Whitehorse,CA,34.57,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
257,Bandarbeyla,SO,79.7,clear sky,9.4942,50.8122,JABIR HOTEL
258,Shache,CN,44.06,overcast clouds,38.4167,77.2406,Delong Hotel
259,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
260,Ahuimanu,US,75.2,light rain,21.4447,-157.8378,Paradise Bay Resort
261,Mazagao,BR,89.65,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
262,Nowy Dwor Gdanski,PL,55.96,overcast clouds,54.2131,19.1177,Ranczo Ryki
263,Flinders,AU,68.18,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
264,College,US,18.07,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
265,Tezu,IN,63.86,clear sky,27.9167,96.1667,Circuit House
266,Georgetown,MY,80.24,thunderstorm with rain,5.4112,100.3354,Cititel Penang
267,Iqaluit,CA,20.93,light snow,63.7506,-68.5145,Frobisher Inn
270,Toropets,RU,41.5,overcast clouds,56.4978,31.6353,Toropa
271,Rosarito,MX,52.75,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
272,Alihe,CN,11.93,broken clouds,50.5667,123.7167,Alihe Forestry Hotel
273,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
274,Mogadishu,SO,80.04,few clouds,2.0371,45.3438,Hotel Juba
275,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
276,Raul Soares,BR,86.72,scattered clouds,-20.1022,-42.4519,Dormitorio Santo Antônio
277,Port Moresby,PG,80.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
278,Husavik,IS,40.39,broken clouds,66.0449,-17.3389,Bjarnabúð
279,Shira,RU,34.48,overcast clouds,54.4911,89.9531,Domchik
280,Pitmedden,GB,54.07,mist,57.3369,-2.1802,Beechgrove Cottage
281,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
283,Kavieng,PG,82.89,moderate rain,-2.5744,150.7967,Nusa Island Retreat
284,Itacare,BR,82.49,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
285,Jiwani,PK,80.64,clear sky,25.05,61.7417,Hooth Market
287,Scunthorpe,GB,55.18,overcast clouds,53.579,-0.6544,Premier Inn Scunthorpe hotel
289,Barinas,VE,84.24,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
290,Lompoc,US,47.93,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
291,Bandipur,NP,52.65,clear sky,27.9333,84.4167,Bandipur Guest House
292,Weinan,CN,51.1,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
294,Pacific Grove,US,48.69,clear sky,36.6177,-121.9166,Lovers Point Inn
295,Severnoye,RU,32.63,light snow,56.3491,78.3619,Gostinitsa Severyanka
296,Lagoa,PT,61.16,overcast clouds,39.05,-27.9833,Casa Das Faias
297,Bridlington,GB,51.73,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
299,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
300,Puerto Carreno,CO,84.18,few clouds,6.189,-67.4859,Casa Hotel Victoria
302,Green River,US,14.99,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
303,Tabuk,PH,75.29,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
304,Matagami,CA,19.51,overcast clouds,49.7502,-77.6328,Motel Le Caribou
305,Puri,IN,73.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
306,Khobi,GE,51.89,scattered clouds,42.3156,41.8987,Kvara
307,Esperance,AU,53.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
308,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
309,Jaen,ES,74.16,clear sky,38.0,-3.5,Hotel TRH Baeza
310,Kahului,US,73.85,moderate rain,20.8947,-156.47,Maui Seaside Hotel
311,La Grande,US,27.01,few clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
312,Mananara,MG,73.9,clear sky,-16.1667,49.7667,Chez Roger
313,Korla,CN,37.33,clear sky,41.7597,86.1469,Gulisitan Hotel
314,Nishihara,JP,74.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
315,Qaqortoq,GL,30.63,overcast clouds,60.7167,-46.0333,Siniffik Inn
316,Mineros,BO,93.63,broken clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
317,Barabai,ID,74.93,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
318,Hinatuan,PH,77.09,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
319,Colares,PT,69.26,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
320,Zaysan,KZ,33.98,broken clouds,47.4667,84.8667,Ерлан үй
321,Umea,SE,35.53,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
322,Ngunguru,NZ,55.54,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
323,Eureka,US,41.58,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
324,Hay River,CA,24.78,broken clouds,60.8156,-115.7999,Ptarmigan Inn
325,Luocheng,CN,54.23,overcast clouds,29.3848,104.0286,Luocheng Hotel
326,Westport,US,50.07,overcast clouds,41.1415,-73.3579,The Westport Inn
327,Bafq,IR,62.31,scattered clouds,31.6128,55.4107,Alamdar Hotel
328,Kailua,US,75.49,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
329,La Orilla,MX,79.86,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
330,Sao Joao Nepomuceno,BR,86.59,few clouds,-21.54,-43.0106,Rua Dr. Fortes Bustamante 95 centro
331,Banamba,ML,95.4,scattered clouds,13.55,-7.45,Kassela de Banamba
332,Nanortalik,GL,36.73,light rain,60.1432,-45.2371,Hotel Kap Farvel
334,Karlskrona,SE,50.45,broken clouds,56.1616,15.5866,First Hotel Statt
336,Orlik,RU,7.74,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
337,Maragogi,BR,83.41,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
338,Magadi,IN,71.76,overcast clouds,12.9667,77.2333,Gobi centre
339,Cintalapa,MX,73.2,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
340,Atraulia,IN,68.18,clear sky,26.3333,82.95,ShivKunj
341,Worthington,US,34.32,overcast clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
342,Yulara,AU,69.46,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
344,Emerald,AU,72.34,light rain,-23.5333,148.1667,Emerald Inn
346,Jinchang,CN,36.61,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
347,Port Hardy,CA,41.18,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
348,Bonavista,CA,35.8,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
349,Buala,SB,79.32,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
350,Ocos,GT,78.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
351,Ingham,US,33.87,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
352,Chauk,MM,76.59,clear sky,20.8833,94.8167,Bo Khin Guest House
353,Aasiaat,GL,16.93,overcast clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
355,Ugoofaaru,MV,81.91,broken clouds,5.6667,73.0,Ungoofaaru Inn
356,Fort Nelson,CA,13.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
357,Bontang,ID,80.83,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
358,Khao Yoi,TH,79.5,light rain,13.2403,99.8243,เปิ้ล ทำเบาะ
359,Vetovo,BG,53.82,overcast clouds,43.7,26.2667,СТАИ ЗА ГОСТИ „ЛОМ“ - Guest House Lom
360,Dingle,PH,76.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
361,Portland,US,37.8,fog,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
