City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Tazovskiy,RU,67.4667,78.7,-17.66,93,18,7.67,few clouds
167,Katsuura,JP,35.1333,140.3,68.02,75,83,18.23,broken clouds
168,Adrar,MR,20.5022,-10.0711,88.74,8,31,8.84,scattered clouds
169,Batagay-Alyta,RU,67.8006,130.4114,-17.73,96,100,1.83,overcast clouds
170,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,20,3.44,few clouds
171,Dolores,AR,-36.3132,-57.6792,81.66,45,89,12.91,overcast clouds
172,Guerrero Negro,MX,27.9769,-114.0611,61.45,65,21,8.12,few clouds
173,Acarau,BR,-2.8856,-40.12,89.33,56,40,16.78,scattered clouds
174,Pevek,RU,69.7008,170.3133,-13.4,98,40,2.68,scattered clouds
175,Honiara,SB,-9.4333,159.95,77.74,87,99,1.88,overcast clouds
176,Bathsheba,BB,13.2167,-59.5167,88.41,70,75,18.41,broken clouds
177,Vila Velha,BR,-20.3297,-40.2925,84.94,72,40,13.8,scattered clouds
178,Kamenka,RU,51.3223,42.7678,43.88,66,53,20.31,broken clouds
179,Santa Catarina Pinula,GT,14.5689,-90.4953,67.62,82,40,20.71,scattered clouds
180,Surt,LY,31.2089,16.5887,70.95,56,0,6.44,clear sky
181,Penon Blanco,MX,24.7897,-104.0369,61.45,36,0,6.31,clear sky
182,Acapulco,MX,16.8634,-99.8901,78.62,83,75,0.0,broken clouds
183,Avarua,CK,-21.2078,-159.775,69.85,83,75,6.91,light rain
184,Gouyave,GD,12.1646,-61.7296,83.17,79,40,20.71,scattered clouds
185,Qurayyat,SA,31.3318,37.3428,73.58,49,40,16.11,scattered clouds
186,Egvekinot,RU,66.3167,-179.1667,-3.37,85,72,4.07,broken clouds
187,Nuuk,GL,64.1835,-51.7216,29.01,74,75,8.05,broken clouds
188,Ketchikan,US,55.3422,-131.6461,45.07,100,100,17.27,light rain
189,Turukhansk,RU,65.8167,87.9833,-6.32,74,28,13.62,scattered clouds
190,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,11.5,broken clouds
191,Zlobin,HR,45.2924,14.6541,49.3,63,40,9.22,light rain
192,Nokaneng,BW,-19.6667,22.2667,87.87,33,82,4.72,broken clouds
193,Trincomalee,LK,8.5711,81.2335,80.91,77,92,5.68,overcast clouds
194,Kungurtug,RU,50.5994,97.5228,12.36,92,97,2.59,overcast clouds
195,Tautira,PF,-17.7333,-149.15,74.62,82,100,2.53,light rain
196,Mitsamiouli,KM,-11.3847,43.2844,79.16,76,20,7.4,few clouds
197,Pisco,PE,-13.7,-76.2167,62.65,94,100,2.3,mist
198,Saint-Joseph,RE,-21.3667,55.6167,75.58,85,44,13.44,light rain
199,Sinnamary,GF,5.3833,-52.95,82.26,75,93,10.31,overcast clouds
200,Thompson,CA,55.7435,-97.8558,-11.04,77,75,3.44,broken clouds
201,Laguna,US,38.421,-121.4238,46.49,83,0,12.66,clear sky
202,Bubaque,GW,11.2833,-15.8333,83.05,58,58,5.46,broken clouds
203,Clyde,US,41.3042,-82.9752,35.22,83,16,11.72,few clouds
204,Encruzilhada Do Sul,BR,-30.5439,-52.5219,64.67,98,100,5.17,light rain
205,Fortuna,US,40.5982,-124.1573,39.54,98,75,8.05,broken clouds
206,Hayden,US,47.766,-116.7866,27.16,93,100,3.44,overcast clouds
207,Mugur-Aksy,RU,50.35,90.5,12.27,87,95,6.4,overcast clouds
208,Jinxi,CN,30.4323,116.2922,54.79,65,100,7.29,overcast clouds
209,Kavaratti,IN,10.5669,72.642,80.26,77,100,3.33,overcast clouds
210,Quelimane,MZ,-17.8786,36.8883,89.55,51,20,14.97,few clouds
211,Sivaki,RU,52.6333,126.75,17.62,92,100,3.24,overcast clouds
212,Makat,KZ,47.6469,53.3463,48.67,71,94,26.98,light rain
213,Urma,RU,42.5389,47.2864,37.81,39,22,3.94,few clouds
214,Severo-Kurilsk,RU,50.6789,156.125,32.54,59,100,9.08,overcast clouds
215,Leh,IN,34.1667,77.5833,25.45,54,100,2.59,overcast clouds
216,Beyneu,KZ,45.3167,55.2,45.41,86,100,25.17,overcast clouds
217,Bandar-E Lengeh,IR,26.5579,54.8807,87.91,42,0,13.8,clear sky
218,Antofagasta,CL,-23.65,-70.4,63.68,57,1,11.48,clear sky
219,Elizabeth City,US,36.2946,-76.2511,52.05,86,100,13.8,overcast clouds
220,Turtas,RU,58.9417,69.1325,24.39,91,77,9.48,broken clouds
221,Bud,US,39.447,-86.1758,32.76,79,7,8.16,clear sky
222,Praxedis Guerrero,MX,31.3667,-106.0167,44.06,36,63,10.47,broken clouds
223,Clyde River,CA,70.4692,-68.5914,-3.77,71,100,5.75,overcast clouds
224,Arlit,NE,18.7369,7.3853,87.78,10,16,8.48,few clouds
225,Garowe,SO,8.4054,48.4845,85.89,20,0,11.25,clear sky
226,Fare,PF,-16.7,-151.0167,74.25,82,100,4.83,light rain
227,Northam,GB,51.0333,-4.2167,62.26,85,100,15.37,overcast clouds
228,Nabire,ID,-3.3667,135.4833,77.09,93,100,3.69,overcast clouds
229,Tuntum,BR,-5.2581,-44.6489,93.33,47,6,2.8,clear sky
230,Waitati,NZ,-45.75,170.5667,45.81,78,100,3.04,overcast clouds
231,Vardo,NO,70.3705,31.1107,30.18,80,31,11.5,scattered clouds
232,Batagay,RU,67.6333,134.6333,-13.61,99,100,1.23,overcast clouds
233,Buta,CD,2.7858,24.73,80.29,64,100,2.62,overcast clouds
234,Rafraf,TN,37.1904,10.1837,70.11,57,100,0.89,overcast clouds
235,Butembo,CD,0.15,29.2833,60.73,98,96,0.78,moderate rain
236,Puerto Leguizamo,CO,-0.1934,-74.7819,88.2,55,34,4.43,scattered clouds
237,Geraldton,AU,-28.7667,114.6,63.01,77,51,17.27,broken clouds
238,Dikson,RU,73.5069,80.5464,-7.85,100,84,6.53,broken clouds
239,Belem De Sao Francisco,BR,-8.7539,-38.9658,92.14,35,14,7.31,few clouds
240,Zaragoza,ES,41.6561,-0.8773,64.85,66,0,6.91,clear sky
241,Mehamn,NO,71.0357,27.8492,33.75,93,100,10.36,overcast clouds
242,Faya,SA,18.3851,42.4509,71.71,54,16,3.2,few clouds
243,Kualakapuas,ID,-3.0091,114.3876,76.96,95,100,2.3,light rain
244,Rio Grande,BR,-32.035,-52.0986,73.51,86,100,18.81,moderate rain
245,Panama City,PA,8.9936,-79.5197,81.45,86,40,4.61,scattered clouds
246,Yichun,CN,47.7,128.9,17.55,52,48,2.13,scattered clouds
247,Kongoussi,BF,13.3258,-1.5347,96.64,20,8,9.1,clear sky
248,Chipinge,ZW,-20.1883,32.6236,75.22,64,68,5.48,broken clouds
249,Jalu,LY,29.0331,21.5482,72.25,32,39,9.4,scattered clouds
250,Nouadhibou,MR,20.931,-17.0347,75.18,69,0,13.8,clear sky
251,Mutum,BR,-19.8,-41.4383,87.03,53,83,4.94,broken clouds
252,Santiago Del Estero,AR,-27.7951,-64.2615,69.96,74,100,11.72,light rain
253,Margate,GB,51.3813,1.3862,60.69,79,87,3.0,overcast clouds
254,Aklavik,CA,68.2191,-135.0107,1.26,96,98,4.99,overcast clouds
255,Toowoomba,AU,-27.55,151.9667,63.25,81,57,1.99,broken clouds
256,Whitehorse,CA,60.7161,-135.0538,34.57,60,75,8.05,broken clouds
257,Bandarbeyla,SO,9.4942,50.8122,79.7,69,1,15.75,clear sky
258,Shache,CN,38.4167,77.2406,44.06,28,100,5.26,overcast clouds
259,Yeppoon,AU,-23.1333,150.7333,71.38,80,63,8.34,broken clouds
260,Ahuimanu,US,21.4447,-157.8378,75.2,87,20,6.91,light rain
261,Mazagao,BR,-0.115,-51.2894,89.65,50,17,5.79,few clouds
262,Nowy Dwor Gdanski,PL,54.2131,19.1177,55.96,76,100,4.18,overcast clouds
263,Flinders,AU,-34.5833,150.8552,68.18,90,100,4.0,moderate rain
264,College,US,64.8569,-147.8028,18.07,87,75,0.0,broken clouds
265,Tezu,IN,27.9167,96.1667,63.86,61,0,4.09,clear sky
266,Georgetown,MY,5.4112,100.3354,80.24,90,40,3.44,thunderstorm with rain
267,Iqaluit,CA,63.7506,-68.5145,20.93,86,100,5.75,light snow
268,Grootfontein,NA,-19.5667,18.1167,90.97,15,0,3.44,clear sky
269,Taoudenni,ML,22.6783,-3.9836,91.33,9,38,11.83,scattered clouds
270,Toropets,RU,56.4978,31.6353,41.5,72,98,10.69,overcast clouds
271,Rosarito,MX,32.3333,-117.0333,52.75,70,72,5.39,broken clouds
272,Alihe,CN,50.5667,123.7167,11.93,88,63,1.03,broken clouds
273,Cap Malheureux,MU,-19.9842,57.6142,76.46,61,76,1.01,broken clouds
274,Mogadishu,SO,2.0371,45.3438,80.04,77,20,10.92,few clouds
